Sample,Depth,Age,d13C,d18O,Site
4-1 85-89,180.35,7.57,1.99,1.18,553
4-1 130-134,180.8,7.6,2.08,1.32,553
4-2 75-79,181.75,7.68,2.26,1.31,553
4-2 140-144,182.4,7.74,2.14,1.1,553
4-3 50-54,183,7.79,2.16,1.48,553
4-3 136-140,183.86,7.86,2.19,1.25,553
4-4 82-86,184.82,7.94,2.18,1.28,553
4-4 130-134,185.3,7.98,2.1,1.28,553
4-5 30-34,185.8,8.02,2.12,1.31,553
4-5 90-94,186.4,8.07,2.09,1.44,553
4-6 30-34,187.3,8.29,2.07,1.16,553
4-6 80-84,187.8,8.41,2.19,1.28,553
4-6 130-134,188.3,8.53,2.34,1.26,553
4-7 24-28,188.74,8.63,2.22,1.02,553
5-1 31-35,189.31,8.77,2,0.93,553
5-1 31-35,189.31,8.77,2.06,0.94,553
5-1 100-104,190,8.86,2.16,0.99,553
5-2 11-15,190.61,8.95,2.11,1.12,553
5-2 20-24,191.2,9.03,2.1,1.1,553
5-2 117-121,191.67,9.09,1.99,1.03,553
5-3 24-28,192.24,9.17,2.06,1.08,553
5-3 100-104,193,9.27,2.22,0.94,553
5-4 14-18,193.64,9.36,1.99,1.07,553
5-4 80-84,194.3,9.44,2.05,0.96,553
5-5 19-23,195.19,9.56,1.96,1.04,553
5-5 81-85,195.81,9.65,2.13,0.98,553
5-6 70-74,197.2,9.84,2.03,0.99,553
5-6 80-84,197.3,9.85,2.29,0.88,553
6-1 56-60,199.06,10.05,2.25,1.04,553
6-1 133.137,199.83,10.14,1.96,1.16,553
6-2 14-18,200.14,10.18,2.08,1.18,553
6-2 70-74,200.7,10.24,2.13,1.15,553
6-2 82-86,200.82,10.26,1.91,1.06,553
6-3 17-21,201.67,10.36,1.91,1.02,553
6-3 82-86,202.32,10.43,2.06,0.99,553
6-4 8-12,203.08,10.54,2.01,1.12,553
6-5 23-27,204.73,10.71,1.94,1,553
6-5 70-74,205.2,10.76,2.03,0.96,553
6-5 133-137,205.83,10.84,2.02,1.11,553
6-6 23-27,206.23,10.88,2.01,1.01,553
7-1 14-18,208.14,11.1,2.07,1.18,553
7-1 80-84,208.8,11.18,2.1,1.04,553
7-1 126-130,209.26,11.27,1.88,1.12,553
7-2 25-29,209.75,11.36,1.92,1.11,553
7-2 80-84,210.3,11.47,2.04,1.05,553
7-2 100-104,210.5,11.51,1.86,1.08,553
7-3 24-28,211.24,11.65,1.9,0.92,553
7-3 80-84,211.8,11.76,2.09,0.97,553
7-3 125-129,212.25,11.85,1.91,1.06,553
7-4 25-29,212.75,11.94,1.83,1.05,553
7-4 80-84,213.3,12.05,1.8,1.03,553
7-4 80-84,213.5,12.09,1.9,1,553
7-4 128-132,213.78,12.14,1.72,1.01,553
7-5 130-134,214.3,12.24,1.82,0.94,553
7-5 130-134,215.3,12.44,1.87,0.92,553
7-6 25-29,215.75,12.52,1.86,1.17,553
7-6 80-84,216.3,12.63,1.91,1.18,553
19-2 130-134,262.8,11.37,2.09,0.8,360
19-3 21-25,263.21,11.39,2.12,0.85,360
19-4 60-64,265.11,11.49,2.13,0.84,360
19-4 111-115,265.61,11.52,2.13,0.8,360
20-1 146-150,280.46,12.3,2.04,0.86,360
20-2 85-89,281.35,12.34,2.04,1.06,360
20-3 89-93,282.89,12.42,2.15,0.85,360
20-4 93-97,284.43,12.5,2.23,0.79,360
20-5 20-24,285.2,12.54,1.89,0.66,360
20-5 83-87,285.83,12.58,1.9,0.76,360
20-5 145-149,286.45,12.61,2,0.84,360
21-1 15-19,298.15,13.22,1.92,1.33,360
21-1 92-96,298.92,13.26,1.95,1.07,360
21-2 73-77,300.23,13.33,1.97,1.33,360
21-3 106-110,302.06,13.43,1.94,1.73,360
21-4 105-109,303.55,13.51,1.99,1.87,360
21-5 91-95,304.91,13.58,1.97,1.59,360
21-6 73-77,306.23,13.65,1.7,1.32,360
22-2 100-104,319.5,17,1.09,1.5,360
22-3 134-138,321.34,17.07,1.15,1.52,360
22-3 142-146,321.42,17.08,1.25,1.67,360
22-5 83-87,323.83,17.17,1.44,1.4,360
22-6 58-62,325.08,17.22,1.51,1.57,360
23-1 86-90,336.86,17.69,1.62,1.28,360
23-2 86-90,338.36,17.75,1.5,1.11,360
23-3 87-91,339.87,17.81,1.57,1.12,360
23-4 92-96,341.42,17.87,1.56,0.9,360
23-4 141-145,341.91,17.89,1.46,0.71,360
24-1 105-109,356.05,21.62,1.73,0.94,360
24-1 140-144,356.4,21.66,1.42,0.81,360
24-2 31-35,356.81,21.7,1.32,1.01,360
25-1 91-95,374.91,23.64,1.66,0.91,360
25-2 70-74,376.2,23.78,1.76,1.05,360
26-2 85-89,394.25,24.21,1.68,1.18,360
27-1 96-100,412.96,24.65,1.3,0.91,360
27-2 75-79,414.25,24.68,1.27,0.9,360
27-3 87-91,415.87,24.71,1.2,1.03,360
27-4 88-92,417.38,24.75,1.17,0.85,360
28-1 103-107,432.03,25.1,1.69,0.85,360
3-1 50-54,151.5,5.38,2.15,0.77,553
3-1 142-146,152.42,5.42,2.26,0.84,553
3-2 50-54,153,5.45,2.26,0.74,553
3-3 50-54,154.5,5.52,2.18,0.76,553
3-3 118-122,155.18,5.54,2.34,0.64,553
3-4 118-122,156.68,5.6,2.27,0.75,553
3-4 140-144,156.9,5.62,2.25,0.85,553
3-5 52-56,157.52,5.67,2.12,0.6,553
3-5 110-114,158.1,5.72,2.28,0.57,553
3-6 52-56,159.02,5.8,2.22,0.63,553
3-6 118-122,159.68,5.85,2.31,0.85,553
8-1 16-20,217.66,12.82,1.69,1.21,553
8-1 80-84,218.3,12.91,2.01,1.13,553
8-1 135-139,218.85,12.99,1.65,1.18,553
8-2 38-42,219.38,13.06,1.47,1.25,553
8-3 24-28,220.03,13.32,1.9,1.58,553
8-3 24-28,220.74,13.59,1.69,1.43,553
8-3 49-53,220.99,13.69,1.96,1.3,553
8-3.77-81,221.77,14,1.48,0.98,553
9-1 57-61,227.57,22.65,1.26,0.77,553
9-1 118-122,228.18,22.75,1.13,0.88,553
9-2 26-30,228.76,22.87,1.19,0.76,553
9-2 95,229.45,23.07,1.24,0.65,553
9-3 25-29,230.25,23.31,1.13,0.66,553
9-3 80-84,230.8,23.47,0.96,0.6,553
9-3 141-145,231.41,23.64,1.17,0.63,553
9-4 16-20,231.66,23.72,1.13,0.6,553
9-4 70-74,232.2,23.87,1.16,0.77,553
9-5 61-65,233.61,24.29,1.37,0.63,553
9-5 105-109,234.05,24.41,0.95,0.61,553
9-6 40-44,234.9,24.66,0.19,0.17,553
19-3 18,208.18,12.43,1.99,1.21,555
20-1 101,215.51,12.73,1.91,1.01,555
20-2 114,217.14,12.79,2,0.98,555
21-1 130,225.3,13.12,1.92,0.97,555
21-2 110,226.6,13.18,1.92,1.09,555
22-1 107,234.57,13.5,1.45,1.1,555
22-2 20,235.2,13.52,1.18,1.15,555
23cc,243.01,13.87,2.11,0.47,555
23cc,243.01,13.87,2.11,0.69,555
24-1 70,253.2,14.25,1.42,0.92,555
24-2 120,255.2,14.33,0.93,0.64,555
24-3 120,256.7,14.39,1.26,1.21,555
24-4 110,258.1,14.46,1.19,0.81,555
24-5 55,259.05,17.41,1.04,0.82,555
23cc,243.01,17.62,2.11,0.47,555
23cc,243.01,17.62,2.11,0.69,555
25-3 91,265.91,17.9,1.32,0.83,555
25-4 118,267.68,18.03,0.88,0.92,555
25-5 125,269.25,18.15,0.75,0.89,555
25-6 105,270.55,18.24,0.69,0.89,555
26-1 76,272.26,18.37,1.07,0.93,555
26-1 76,272.26,18.37,1.15,0.88,555
26-2 70,273.7,18.47,0.9,0.93,555
26-2 70,273.7,18.47,0.93,1.03,555
26-3 102,275.52,18.6,0.83,0.59,555
26-4 55,276.55,18.68,0.88,0.23,555
26-5 100,278.5,18.82,0.83,0.68,555
26-6 132,280.32,18.95,0.68,0.88,555
5-5 100,41,5.67,1.86,0.59,555
6-5 100,52,6.11,2.33,0.8,555
7-5 14,59.14,6.4,2.34,0.74,555
8-1 108,63.58,6.58,2.19,1.06,555
8-3 108,66.58,6.7,2.32,0.93,555
8-5 108,69.58,6.82,1.99,1.15,555
8-5 108,69.58,6.82,2.18,1.01,555
8-5 108,69.58,6.82,2.1,0.87,555
9-1 55,91.55,7.71,2.11,1.23,555
9-2 103,93.53,7.79,2.3,1.14,555
10-1 110,101.6,8.12,2.26,1.28,555
10-3 100,104.5,8.24,2.09,1.14,555
10-5 90,107.4,8.35,2.12,1.15,555
11-1 100,130,9.27,2.07,1.11,555
11-3 106,133.06,9.39,2.08,1.29,555
12-1 143,139.93,9.67,1.76,0.9,555
12-2 109,141.09,9.72,1.94,1.06,555
13-1 19,148.19,10,2.01,1.06,555
14-1 31,157.81,10.39,1.96,0.91,555
15-1 124,168.24,10.82,1.99,1.4,555
16-3 124,180.9,11.33,1.96,0.85,555
16-4 110,182.1,11.38,1.94,0.86,555
16-5 110,183.6,11.44,1.83,0.88,555
16-6 80,184.8,11.49,1.91,0.89,555
16-7 21,185.71,11.52,2.11,1.02,555
17-1 130,187.3,11.59,2.08,0.81,555
17-1 130,187.3,11.59,2,0.82,555
17-2 120,188.7,11.64,1.97,0.94,555
17-3 110,190.1,11.7,1.92,0.78,555
17-4 13,190.63,11.72,2.06,0.53,555
18-1 133,196.83,11.97,1.92,1.02,555
